Issue Date,Issue Time,Ticket No,Code,Description,Officer,Block,Location,Latitude,Longitude
1/21/16,2:40 AM,118023614,2,Overnight parking 2am-6am,BENITEZ,191,GLEN SUMMER RD,34.13788,-118.17589
1/21/16,2:39 AM,123030621,2,Overnight parking 2am-6am,CHAVEZ,1400,WESLEY AVE,34.170045,-118.12031
1/21/16,2:39 AM,111024985,2,Overnight parking 2am-6am,TENA,652 N,MARENGO AVE,34.15717,-118.14596
1/21/16,2:37 AM,123030620,2,Overnight parking 2am-6am,CHAVEZ,1382,WESLEY AVE,34.169815,-118.1203
1/21/16,2:35 AM,118023613,2,Overnight parking 2am-6am,BENITEZ,270,MALCOLM DR,34.1368766,-118.17792
1/21/16,2:33 AM,123030619,2,Overnight parking 2am-6am,CHAVEZ,1309,WESLEY AVE,34.168685,-118.12036
1/21/16,2:31 AM,111024984,2,Overnight parking 2am-6am,TENA,125,CHESTNUT ST,34.1504116,-118.14831
1/21/16,2:29 AM,118023612,2,Overnight parking 2am-6am,BENITEZ,518,GLEN HOLLY DR,34.1324366,-118.17905
1/21/16,2:29 AM,123030618,2,Overnight parking 2am-6am,CHAVEZ,1098 N,HILL AVE,34.16498,-118.12148
1/21/16,2:27 AM,111024983,2,Overnight parking 2am-6am,TENA,97 E,COLORADO BLVD,34.1458133,-118.14845
1/21/16,2:26 AM,118023611,2,Overnight parking 2am-6am,BENITEZ,487,JUNIPER DR,34.1330383,-118.18037
1/21/16,2:25 AM,111024982,2,Overnight parking 2am-6am,TENA,34 S,RAYMOND AVE,34.1450616,-118.14892
1/21/16,2:24 AM,123030617,2,Overnight parking 2am-6am,CHAVEZ,1455,WHITEFIELD RD,34.1645066,-118.12056
1/21/16,2:23 AM,111024981,2,Overnight parking 2am-6am,TENA,13 S,RAYMOND AVE,34.1454933,-118.14876
1/21/16,2:20 AM,118023610,49,Parked Next to Fire Hydrant,BENITEZ,946,BURLEIGH DR,34.1280266,-118.17519
1/21/16,2:19 AM,111024980,2,Overnight parking 2am-6am,TENA,102 W,COLORADO BLVD,34.145815,-118.15261
1/21/16,2:19 AM,123030616,2,Overnight parking 2am-6am,CHAVEZ,964,SINALOA AVE,34.1627083,-118.11556
1/21/16,2:18 AM,118023609,2,Overnight parking 2am-6am,BENITEZ,946,BURLEIGH DR,34.128045,-118.17524
1/21/16,2:17 AM,111024979,2,Overnight parking 2am-6am,TENA,106 W,COLORADO BLVD,34.1458783,-118.15273
1/21/16,2:16 AM,111024978,2,Overnight parking 2am-6am,TENA,110 W,COLORADO BLVD,34.1457616,-118.15285
1/21/16,2:14 AM,123030615,2,Overnight parking 2am-6am,CHAVEZ,725,SINALOA AVE,34.1582766,-118.11558
1/21/16,2:13 AM,111024977,2,Overnight parking 2am-6am,TENA,48 S,DE LACEY AVE,34.1448333,-118.15227
1/21/16,2:10 AM,123030614,2,Overnight parking 2am-6am,CHAVEZ,1350 E,ORANGE GROVE BLVD,34.157745,-118.12257
1/21/16,2:09 AM,118023608,2,Overnight parking 2am-6am,BENITEZ,714 W,CALIFORNIA BLVD,34.1356783,-118.16519
1/21/16,2:06 AM,111024976,2,Overnight parking 2am-6am,TENA,130 W,VALLEY ST,34.1425,-118.15321
1/21/16,1:13 AM,123030613,22,O/n pkg comm/oversize veh 10p-6a,CHAVEZ,930,MORTON AVE,34.16218,-118.1521
1/21/16,12:20 AM,123030612,22,O/n pkg comm/oversize veh 10p-6a,CHAVEZ,2235 E,WALNUT ST,34.14856,-118.1042
1/20/16,11:07 PM,123030611,6,Restricted parking,CHAVEZ,55 S,RAYMOND AVE,34.1447066,-118.14876
1/20/16,11:02 PM,123030610,6,Restricted parking,CHAVEZ,24 W,COLORADO BLVD,34.145935,-118.15091
1/20/16,10:46 PM,123030609,49,Parked Next to Fire Hydrant,CHAVEZ,465 S,MADISON AVE,34.1381716,-118.13831
1/20/16,10:30 PM,123030608,6,Restricted parking,CHAVEZ,191,PICO ST,34.1348183,-118.14636
1/20/16,10:20 PM,123030607,1,Expired meter,CHAVEZ,153 E,HOLLY ST,,
1/20/16,7:41 PM,107018768,1,Expired meter,SANCHEZ O,63 W,COLORADO BLVD,34.1457283,-118.15172
